city,state,population,latitude,longitude
Cleveland,Ohio,390113,41.49932,-81.6943605
Boise City,Idaho,214237,43.6187102,-116.2146068
Lubbock,Texas,239538,33.5778631,-101.8551665
Kansas City,Missouri,467007,39.0997265,-94.5785667
Montgomery,Alabama,201332,32.366805199999995,-86.2999689
Columbus,Georgia,202824,32.4609764,-84.9877094
Buffalo,New York,258959,42.8864468,-78.8783689
Sacramento,California,479686,38.5815719,-121.4943996
Henderson,Nevada,270811,36.0395247,-114.9817213
Spokane,Washington,210721,47.6587802,-117.4260466
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215
Dallas,Texas,1257676,32.7766642,-96.7969879
Chula Vista,California,256780,32.6400541,-117.0841955
New Orleans,Louisiana,378715,29.9510658,-90.0715323
Portland,Oregon,609456,45.523062200000005,-122.6764816
Denver,Colorado,649495,39.7392358,-104.990251
Moreno Valley,California,201175,33.9424658,-117.2296717
Reno,Nevada,233294,39.5296329,-119.8138027
Scottsdale,Arizona,226918,33.494170399999994,-111.9260519
Columbus,Ohio,822553,39.9611755,-82.9987942
Lincoln,Nebraska,268738,40.8257625,-96.6851982
Boston,Massachusetts,645966,42.3600825,-71.0588801
Gilbert,Arizona,229972,33.3528264,-111.789027
Raleigh,North Carolina,431746,35.7795897,-78.6381787
San Antonio,Texas,1409019,29.4241219,-98.4936282
Tulsa,Oklahoma,398121,36.1539816,-95.992775
Tucson,Arizona,526116,32.2217429,-110.926479
Jacksonville,Florida,842583,30.3321838,-81.655651
Fremont,California,224922,37.548269700000006,-121.9885719
Minneapolis,Minnesota,400070,44.977753,-93.2650108
St. Louis,Missouri,318416,38.6270025,-90.1994042
Albuquerque,New Mexico,556495,35.0853336,-106.6055534
North Las Vegas,Nevada,226877,36.1988592,-115.1175013
Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276
Mesa,Arizona,457587,33.4151843,-111.8314724
Fort Wayne,Indiana,256496,41.079273,-85.13935129999999
Detroit,Michigan,688701,42.331427000000005,-83.0457538
Rochester,New York,210358,43.16103,-77.61092190000001
Birmingham,Alabama,212113,33.5206608,-86.80249
Austin,Texas,885400,30.267153000000004,-97.7430608
Orlando,Florida,255483,28.5383355,-81.3792365
Newark,New Jersey,278427,40.735657,-74.1723667
Laredo,Texas,248142,27.530567100000003,-99.4803241
Cincinnati,Ohio,297517,39.1031182,-84.5120196
Toledo,Ohio,282313,41.6639383,-83.555212
Washington,District of Columbia,646449,38.9071923,-77.03687070000001
Omaha,Nebraska,434353,41.25236339999999,-95.9979883
San Diego,California,1355896,32.715738,-117.1610838
Nashville,Tennessee,634464,36.1626638,-86.78160159999999
Durham,North Carolina,245475,35.99403289999999,-78.898619
Wichita,Kansas,386552,37.688889,-97.336111
Chesapeake,Virginia,230571,36.7682088,-76.2874927
Anchorage,Alaska,300950,61.2180556,-149.90027780000003
Oakland,California,406253,37.8043637,-122.27111370000002
Atlanta,Georgia,447841,33.7489954,-84.3879824
Chandler,Arizona,249146,33.3061605,-111.8412502
Indianapolis,Indiana,843393,39.768403,-86.158068
Greensboro,North Carolina,279639,36.0726354,-79.79197540000001
Stockton,California,298118,37.9577016,-121.29077959999998
Garland,Texas,234566,32.912624,-96.6388833
Fayetteville,North Carolina,204408,35.0526641,-78.87835849999999
Long Beach,California,469428,33.770050399999995,-118.1937395
San Francisco,California,837442,37.7749295,-122.4194155
Fontana,California,203003,34.0922335,-117.435048
Norfolk,Virginia,246139,36.8507689,-76.28587259999999
San Bernardino,California,213708,34.1083449,-117.2897652
Seattle,Washington,652405,47.6062095,-122.33207079999998
Shreveport,Louisiana,200327,32.5251516,-93.7501789
Aurora,Colorado,345803,39.7294319,-104.8319195
Tampa,Florida,352957,27.950575,-82.4571776
Colorado Springs,Colorado,439886,38.8338816,-104.8213634
Modesto,California,204933,37.6390972,-120.9968782
Riverside,California,316619,33.9533487,-117.3961564
Charlotte,North Carolina,792862,35.2270869,-80.8431267
Chicago,Illinois,2718782,41.8781136,-87.62979820000001
Memphis,Tennessee,653450,35.1495343,-90.0489801
Irving,Texas,228653,32.814017699999994,-96.9488945
